Degree Name,Degree Subject,Extra Conditions,POSTS
M.A./M.Sc./B.S.,Arabic,,Arabic
Ashahdat-ul-Alimiyyah,Fil Uloomil Arabiyyah Wal Islamiyyah,,Arabic
M.A./M.Sc./B.S.,Islamic Call (DAWA),,Arabic
M.A./M.Sc./B.S.,Civics,,Civics
M.A./M.Sc./B.S.,Pol. Science,,Civics
M.A./M.Sc./B.S.,Islamiat,,Islamiat
M.A./M.Sc./B.S.,Islamic Studies,,Islamiat
M.A./M.Sc./B.S.,Islamic Culture & Religion,,Islamiat
Ashahdat-ul-Alimiyyah,Fil Uloomil Arabiyyah Wal Islamiyyah,,Islamiat
M.A./M.Sc./B.S.,Usul-ud-Din,,Islamiat
M.A./M.Sc./B.S.,Biology,,Biology
M.A./M.Sc./B.S.,Botany or Zoology,B.Sc. in both will be acceptable,Biology
M.A./M.Sc./B.S.,Micro-Biology and Molecular Genetics,,Biology
M.A./M.Sc./B.S.,Marine Biology,,Biology
M.A./M.Sc./B.S.,Fresh Water Biology and Fisheries,,Biology
M.A./M.Sc./B.S.,Genetics,,Biology
M.A./M.Sc./B.S.,Biology (Plant Sciences),,Biology
M.A./M.Sc./B.S.,Biology (Animal Sciences),,Biology
M.A./M.Sc./B.S.,Botany,,Biology
M.A./M.Sc./B.S.,Botany,,Biology
M.A./M.Sc./B.S.,Zoology,,Biology
M.A./M.Sc./B.S.,Zoology,,Biology
M.A./M.Sc./B.S.,Biotechnology,,Biology
M.A./M.Sc./B.S.,Biochemistry,,Biology
M.A./M.Sc./B.S.,Biochemistry,,Biology
M.A./M.Sc./B.S.,Biotechnology,,Biology
M.A./M.Sc./B.S.,Environmental Science,,Biology
B.Sc. (Hons.),Bioinformatics,,Biology
M.A./M.Sc./B.S.,Biosciences,,Biology
M.A./M.Sc./B.S.,Biosciences,,Biology
M.A./M.Sc./B.S.,Applied Microbiology,,Biology
B.Sc. (Hons),Microbiology,,Biology
M.A./M.Sc./B.S.,Biochemistry and Molecular Biology,,Biology
M.A./M.Sc./B.S.,Applied Biosciences,,Biology
M.A./M.Sc./B.S.,Bio-informatics & Bio-technology,,Biology
M.A./M.Sc./B.S.,Botany,,Botany
M.A./M.Sc./B.S.,Entomology,,Botany
M.A./M.Sc./B.S.,Plant Breeding & Genetics,,Botany
M.A./M.Sc./B.S.,Mycology & Plant Pathology,,Botany
M.A./M.Sc./B.S.,Biology (Plant Sciences),,Botany
M.A./M.Sc./B.S.,Zoology,,Zoology
M.A./M.Sc./B.S.,Entomology,,Zoology
M.A./M.Sc./B.S.,Plant Breeding & Genetics,,Zoology
M.A./M.Sc./B.S.,Mycology & Plant Pathology,,Zoology
M.A./M.Sc./B.S.,Biology (Animal Sciences),,Zoology
M.A./M.Sc./B.S.,Chemistry,,Chemistry
M.A./M.Sc./B.S.,Applied Chemistry,,Chemistry
M.A./M.Sc./B.S.,Bio-Chemistry,,Chemistry
M.A./M.Sc./B.S.,Industrial Chemistry,,Chemistry
